  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.43
1                       0.50
2                       0.50
4                       0.49
8                       0.50
16                      0.52
32                      0.53
64                      0.58
128                     0.60
256                     0.64
512                     0.86
1024                    1.01
2048                    1.29
4096                    4.02
8192                    4.92
16384                   6.61
32768                   9.24
65536                  14.55
131072                 25.01
262144                 45.74
524288                 87.41
1048576               173.10
2097152              1268.90
4194304              2882.61
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.17
2                       8.47
4                      16.88
8                      33.47
16                     59.86
32                    121.29
64                    206.62
128                   350.84
256                   604.77
512                  1333.75
1024                 2458.06
2048                 4152.11
4096                 1517.77
8192                 2383.56
16384                3088.58
32768                4131.34
65536                4946.76
131072               5543.37
262144               5911.65
524288               6108.31
1048576              6218.96
2097152              5943.83
4194304              1619.28
  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.41
1                       0.47
2                       0.47
4                       0.47
8                       0.47
16                      0.50
32                      0.50
64                      0.54
128                     0.58
256                     0.62
512                     0.87
1024                    1.01
2048                    1.31
4096                    4.02
8192                    4.92
16384                   6.61
32768                   9.23
65536                  14.57
131072                 25.01
262144                 45.85
524288                 87.51
1048576               170.83
2097152              1264.31
4194304              2874.85
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.18
2                       8.47
4                      16.90
8                      33.57
16                     59.46
32                    121.09
64                    206.01
128                   352.39
256                   607.02
512                  1346.99
1024                 2487.29
2048                 4168.96
4096                 1548.97
8192                 2445.29
16384                3142.60
32768                4148.12
65536                4989.52
131072               5538.99
262144               5933.14
524288               5801.27
1048576              5665.78
2097152              5580.72
4194304              1611.96
  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.42
1                       0.48
2                       0.48
4                       0.48
8                       0.48
16                      0.51
32                      0.51
64                      0.55
128                     0.58
256                     0.62
512                     0.85
1024                    1.00
2048                    1.30
4096                    3.98
8192                    4.90
16384                   6.64
32768                   9.24
65536                  14.57
131072                 25.01
262144                 45.68
524288                 87.28
1048576               174.68
2097152              1296.53
4194304              2886.68
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.23
2                       8.51
4                      17.05
8                      33.77
16                     59.80
32                    121.66
64                    207.01
128                   350.14
256                   606.73
512                  1343.32
1024                 2450.62
2048                 4199.75
4096                 1539.95
8192                 2373.54
16384                3109.42
32768                4142.84
65536                4963.90
131072               5570.70
262144               5923.71
524288               6019.23
1048576              5759.87
2097152              5628.10
4194304              1607.69
