  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       3.52
1                       3.57
2                       3.57
4                       3.58
8                       3.64
16                      3.66
32                      3.71
64                      3.90
128                     4.86
256                     5.37
512                     6.24
1024                    7.33
2048                    9.88
4096                   12.64
8192                   18.53
16384                  26.18
32768                  36.74
65536                  57.70
131072                100.53
262144                187.22
524288                357.96
1048576               698.57
2097152              1378.87
4194304              2750.75
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.27
4                       2.53
8                       5.09
16                     10.27
32                     20.49
64                     40.78
128                    77.25
256                   153.78
512                   292.73
1024                  529.95
2048                  732.59
4096                  877.66
8192                  961.60
16384                1025.02
32768                1226.48
65536                1385.85
131072               1418.80
262144               1297.91
524288               1472.85
  Loading openmpi/4.0.1 for compiler gnu-4.8.5
  Loading openmpi/4.0.1 for compiler gnu-4.8.5
1048576              1012.61
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                      57.49
0                      81.87
1                      92.16
1                      81.50
2097152               514.22
2                      78.78
2                      96.08
4                      66.11
4                      98.95
8                      74.30
8                      65.62
16                    110.35
16                     89.44
32                     70.55
32                    104.50
64                     99.09
4194304               628.51
64                     85.92
128                    67.52
128                    53.18
256                    63.06
256                    69.45
512                    66.90
512                    70.80
1024                   87.54
1024                   80.60
2048                  118.88
2048                  129.51
4096                  160.54
4096                  173.19
8192                  209.33
8192                  207.37
16384                 251.64
16384                 193.46
32768                 336.32
32768                 336.43
65536                 691.93
65536                 762.19
131072               1275.81
131072               1249.42
262144               1786.22
262144               1724.69
524288               2625.70
524288               2808.47
1048576              4874.87
1048576              4870.00
2097152              7849.10
2097152              7789.62
4194304              7630.71
4194304              7685.56
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.26
4                       2.52
8                       1.46
16                      4.44
1                       0.28
32                      2.77
2                       0.44
64                     14.06
4                       2.51
128                    34.69
8                       0.86
256                    69.01
16                      3.64
512                   112.01
32                      3.92
64                     39.93
1024                   82.17
128                    74.64
2048                  256.22
256                     9.64
512                   134.87
4096                  139.75
1024                  214.49
2048                  114.74
8192                  246.61
4096                  283.57
16384                 251.54
32768                 110.56
8192                   79.05
16384                 289.26
65536                 274.13
32768                 267.28
65536                 537.67
131072                568.73
131072                434.66
262144                622.52
262144                605.67
524288                663.13
524288                660.52
1048576               735.94
1048576               714.89
2097152               751.23
2097152               753.58
4194304               759.63
4194304               796.01
