  Loading openmpi/4.0.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.42
1                       0.48
2                       0.48
4                       0.48
8                       0.48
16                      0.51
32                      0.51
64                      0.55
128                     0.58
256                     0.62
512                     0.86
1024                    1.00
2048                    1.29
4096                    3.92
8192                    4.90
16384                   6.63
32768                   9.27
65536                  14.61
131072                 25.01
262144                 45.72
524288                 87.61
1048576               176.54
2097152              1290.14
4194304              2879.94
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.23
2                       8.58
4                      17.27
8                      34.03
16                     60.46
32                    122.47
64                    209.38
128                   354.32
256                   610.19
512                  1359.43
1024                 2485.23
2048                 4180.18
4096                 1553.61
8192                 2445.68
16384                3163.69
32768                4174.26
65536                4980.33
131072               5588.84
262144               5943.63
524288               6128.69
1048576              6232.66
2097152              6087.39
4194304              1658.15
